drug,reaction,count
insulin,BLOOD GLUCOSE INCREASED,11849
insulin,NAUSEA,7389
insulin,DRUG INEFFECTIVE,7225
insulin,DYSPNOEA,6332
insulin,HYPOGLYCAEMIA,6324
metformin,NAUSEA,29649
metformin,DIARRHOEA,27400
metformin,BLOOD GLUCOSE INCREASED,27002
metformin,DRUG INEFFECTIVE,22105
metformin,FATIGUE,20956
glipizide,BLOOD GLUCOSE INCREASED,5880
glipizide,NAUSEA,3975
glipizide,DRUG INEFFECTIVE,3293
glipizide,DIARRHOEA,3205
glipizide,FATIGUE,2857
glyburide,BLOOD GLUCOSE INCREASED,3324
glyburide,NAUSEA,2218
glyburide,WEIGHT DECREASED,1666
glyburide,DRUG INEFFECTIVE,1539
glyburide,DIARRHOEA,1415
pioglitazone,BLOOD GLUCOSE INCREASED,1002
pioglitazone,NAUSEA,981
pioglitazone,DIARRHOEA,761
pioglitazone,FATIGUE,678
pioglitazone,DRUG INEFFECTIVE,675
rosiglitazone,MYOCARDIAL INFARCTION,862
rosiglitazone,CARDIAC FAILURE CONGESTIVE,660
rosiglitazone,DEATH,488
rosiglitazone,CEREBROVASCULAR ACCIDENT,379
rosiglitazone,CORONARY ARTERY DISEASE,263
